RISHI explain-page audit  (report only)
scanned root: D:\rishi\public\explain
files found : 140
==============================================================================
BOARD  CLS   FILE                                ANIM        BUTTON      
------------------------------------------------------------------------------
CBSE   6     fractions.html                      REAL        ok          
CBSE   6     number-play.html                    REAL        ok          
CBSE   6     patterns-in-mathematics.html        REAL        ok          
CBSE   6     prime-time.html                     REAL        ok          
CBSE   6     the-other-side-of-zero.html         REAL        ok          
CBSE   6     data-handling-and-presentation.htm  REAL        ok          
CBSE   6     lines-and-angles.html               REAL        ok          
CBSE   6     playing-with-constructions.html     REAL        ok          
CBSE   6     symmetry.html                       REAL        ok          
CBSE   6     perimeter-and-area.html             REAL        ok          
CBSE   7     expressions-using-letter-numbers.h  REAL        ok          
CBSE   7     a-peek-beyond-the-point.html        REAL        ok          
CBSE   7     arithmetic-expressions.html         REAL        ok          
CBSE   7     large-numbers-around-us.html        REAL        ok          
CBSE   7     number-play.html                    REAL        ok          
CBSE   7     working-with-fractions.html         REAL        ok          
CBSE   7     a-tale-of-three-intersecting-lines  REAL        ok          
CBSE   7     parallel-and-intersecting-lines.ht  REAL        ok          
CBSE   8     algebraic-expressions-identities.h  REAL        ok          
CBSE   8     factorisation.html                  REAL        ok          
CBSE   8     introduction-to-graphs.html         REAL        ok          
CBSE   8     linear-equations.html               REAL        ok          
CBSE   8     comparing-quantities.html           REAL        ok          
CBSE   8     cubes-and-cube-roots.html           REAL        ok          
CBSE   8     direct-inverse-proportions.html     REAL        ok          
CBSE   8     playing-with-numbers.html           REAL        ok          
CBSE   8     powers-exponents.html               REAL        ok          
CBSE   8     rational-numbers.html               REAL        ok          
CBSE   8     squares-and-square-roots.html       REAL        ok          
CBSE   8     story-of-numbers.html               REAL        ok          
CBSE   8     chance-probability.html             REAL        ok          
CBSE   8     frequency-distribution.html         REAL        ok          
CBSE   8     practical-geometry.html             REAL        ok          
CBSE   8     understanding-quadrilaterals.html   REAL        ok          
CBSE   8     visualising-solid-shapes.html       REAL        ok          
CBSE   8     area-plane-figures.html             REAL        ok          
CBSE   8     surface-area-volume.html            REAL        ok          
CBSE   9     linear-equations-two-variables.htm  REAL        ok          
CBSE   9     polynomials.html                    REAL        ok          
CBSE   9     real-numbers.html                   REAL        ok          
CBSE   9     coordinate-geometry.html            REAL        ok          
CBSE   9     statistics.html                     REAL        ok          
CBSE   9     circles.html                        REAL        ok          
CBSE   9     euclids-geometry.html               REAL        ok          
CBSE   9     lines-and-angles.html               REAL        ok          
CBSE   9     quadrilaterals.html                 REAL        ok          
CBSE   9     triangles.html                      REAL        ok          
CBSE   9     herons-formula.html                 REAL        ok          
CBSE   9     surface-areas-volumes.html          REAL        ok          
ICSE   6     algebraic-expressions.html          REAL        ok          
ICSE   6     framing-algebraic-expressions.html  REAL        ok          
ICSE   6     simple-linear-equations.html        REAL        ok          
ICSE   6     substitution.html                   REAL        ok          
ICSE   6     decimal-fractions.html              REAL        ok          
ICSE   6     estimation.html                     REAL        ok          
ICSE   6     fractions.html                      REAL        ok          
ICSE   6     hcf-and-lcm.html                    REAL        ok          
ICSE   6     natural-numbers-whole-numbers.html  REAL        ok          
ICSE   6     negative-numbers-integers.html      REAL        ok          
ICSE   6     number-line.html                    REAL        ok          
ICSE   6     number-system.html                  REAL        ok          
ICSE   6     percent-and-percentage.html         REAL        ok          
ICSE   6     playing-with-numbers.html           REAL        ok          
ICSE   6     proportion.html                     REAL        ok          
ICSE   6     ratio.html                          REAL        ok          
ICSE   6     speed-distance-time.html            REAL        ok          
ICSE   6     unitary-method.html                 REAL        ok          
ICSE   6     data-handling.html                  REAL        ok          
ICSE   6     angles.html                         REAL        ok          
ICSE   6     polygons.html                       REAL        ok          
ICSE   6     properties-of-angles-lines.html     REAL        ok          
ICSE   6     quadrilateral.html                  REAL        ok          
ICSE   6     recognition-of-solids.html          REAL        ok          
ICSE   6     symmetry.html                       REAL        ok          
ICSE   6     the-circle.html                     REAL        ok          
ICSE   6     triangle-properties.html            REAL        ok          
ICSE   6     perimeter-and-area.html             REAL        ok          
ICSE   7     fundamental-concepts.html           REAL        ok          
ICSE   7     simple-linear-equations.html        REAL        ok          
ICSE   7     decimal-fractions.html              REAL        ok          
ICSE   7     exponents.html                      REAL        ok          
ICSE   7     fractions.html                      REAL        ok          
ICSE   7     integers.html                       REAL        ok          
ICSE   7     percent-and-percentage.html         REAL        ok          
ICSE   7     profit-loss-discount.html           REAL        ok          
ICSE   7     ratio-and-proportion.html           REAL        ok          
ICSE   7     rational-numbers.html               REAL        ok          
ICSE   7     set-concepts.html                   REAL        ok          
ICSE   7     simple-interest.html                REAL        ok          
ICSE   7     unitary-method.html                 REAL        ok          
ICSE   7     data-handling.html                  REAL        ok          
ICSE   7     probability.html                    REAL        ok          
ICSE   7     congruent-triangles.html            REAL        ok          
ICSE   7     lines-and-angles.html               REAL        ok          
ICSE   7     pythagoras-theorem.html             REAL        ok          
ICSE   7     recognition-of-solids.html          REAL        ok          
ICSE   7     symmetry.html                       REAL        ok          
ICSE   7     triangles.html                      REAL        ok          
ICSE   7     mensuration.html                    REAL        ok          
ICSE   8     linear-equations.html               REAL        ok          
ICSE   8     linear-inequations.html             REAL        ok          
ICSE   8     compound-interest.html              REAL        ok          
ICSE   8     cubes-and-cube-roots.html           REAL        ok          
ICSE   8     direct-inverse-variation.html       REAL        ok          
ICSE   8     distance-speed-time.html            REAL        ok          
ICSE   8     exponents.html                      REAL        ok          
ICSE   8     percent-and-percentage.html         REAL        ok          
ICSE   8     playing-with-numbers.html           REAL        ok          
ICSE   8     profit-loss-discount.html           REAL        ok          
ICSE   8     rational-numbers.html               REAL        ok          
ICSE   8     sets.html                           REAL        ok          
ICSE   8     squares-and-square-roots.html       REAL        ok          
ICSE   8     time-and-work.html                  REAL        ok          
ICSE   8     data-handling.html                  REAL        ok          
ICSE   8     constructions.html                  REAL        ok          
ICSE   8     polygons.html                       REAL        ok          
ICSE   8     representing-3d-in-2d.html          REAL        ok          
ICSE   8     understanding-shapes.html           REAL        ok          
